parallel,f_name,n_dims,min_found,n_iters,exec_time,
False,rastrigin,2,0.0,1000,2.6959123611450195,
False,rastrigin,2,0.0,1000,2.7241594791412354,
False,rastrigin,2,0.0,1000,2.6932716369628906,
False,rastrigin,2,0.0,1000,2.737727403640747,
False,rastrigin,2,0.0,1000,2.6341755390167236,
False,rastrigin,2,0.0,1000,2.797628402709961,
False,rastrigin,2,0.0,1000,2.672088146209717,
False,rastrigin,2,0.0,1000,2.767350912094116,
False,rastrigin,2,0.0,1000,2.811189889907837,
False,rastrigin,2,0.0,1000,2.68259596824646,
False,rastrigin,2,0.0,1000,2.691016912460327,
False,rastrigin,2,0.0,1000,2.6603105068206787,
False,rastrigin,2,0.0,1000,2.814405679702759,
False,rastrigin,2,0.0,1000,2.704148530960083,
False,rastrigin,2,0.0,1000,2.778549909591675,
False,rastrigin,2,0.0,1000,2.885575532913208,
False,rastrigin,2,0.0,1000,2.7895233631134033,
False,rastrigin,2,0.0,1000,2.877181053161621,
False,rastrigin,2,0.0,1000,2.680684804916382,
False,rastrigin,2,0.0,1000,2.699127674102783,
False,rastrigin,2,0.0,1000,2.7718236446380615,
False,rastrigin,2,0.0,1000,2.743457555770874,
False,rastrigin,2,0.0,1000,2.809058904647827,
False,rastrigin,2,0.0,1000,2.7227845191955566,
False,rastrigin,2,0.0,1000,2.72912859916687,
False,rastrigin,2,0.0,1000,2.6554410457611084,
False,rastrigin,2,0.0,1000,2.6981663703918457,
False,rastrigin,2,0.0,1000,2.753728151321411,
False,rastrigin,2,0.0,1000,2.6781482696533203,
False,rastrigin,2,0.0,1000,2.7493698596954346,
False,rastrigin,3,0.0,1000,2.6960842609405518,
False,rastrigin,3,0.0,1000,2.770814895629883,
False,rastrigin,3,0.0,1000,2.6689999103546143,
False,rastrigin,3,0.0,1000,2.7186355590820312,
False,rastrigin,3,0.0,1000,2.6420679092407227,
False,rastrigin,3,0.0,1000,2.784899950027466,
False,rastrigin,3,0.0,1000,2.691714286804199,
False,rastrigin,3,0.0,1000,2.763840913772583,
False,rastrigin,3,0.0,1000,2.8133223056793213,
False,rastrigin,3,0.0,1000,2.772122621536255,
False,rastrigin,3,0.0,1000,2.642357587814331,
False,rastrigin,3,0.0,1000,2.7357990741729736,
False,rastrigin,3,0.0,1000,2.7124085426330566,
False,rastrigin,3,0.0,1000,2.6884078979492188,
False,rastrigin,3,0.0,1000,2.688586473464966,
False,rastrigin,3,0.0,1000,2.933882236480713,
False,rastrigin,3,0.0,1000,2.7024941444396973,
False,rastrigin,3,0.0,1000,2.7633819580078125,
False,rastrigin,3,0.0,1000,2.7365784645080566,
False,rastrigin,3,0.0,1000,2.6846604347229004,
False,rastrigin,3,0.0,1000,2.7792370319366455,
False,rastrigin,3,0.0,1000,2.7301902770996094,
False,rastrigin,3,0.0,1000,2.727403163909912,
False,rastrigin,3,0.0,1000,2.8265442848205566,
False,rastrigin,3,0.0,1000,2.9763240814208984,
False,rastrigin,3,0.0,1000,2.692371368408203,
False,rastrigin,3,0.0,1000,2.7141125202178955,
False,rastrigin,3,0.0,1000,2.6749937534332275,
False,rastrigin,3,0.0,1000,2.7437071800231934,
False,rastrigin,3,0.0,1000,2.7025694847106934,
False,rastrigin,4,0.0,1000,2.729640007019043,
False,rastrigin,4,0.0,1000,2.7067553997039795,
False,rastrigin,4,0.0,1000,2.686427354812622,
False,rastrigin,4,0.0,1000,2.7814855575561523,
False,rastrigin,4,0.0,1000,2.7562029361724854,
False,rastrigin,4,0.0,1000,2.698127269744873,
False,rastrigin,4,0.0,1000,2.7801945209503174,
False,rastrigin,4,0.0,1000,2.7801079750061035,
False,rastrigin,4,0.0,1000,2.729548215866089,
False,rastrigin,4,0.0,1000,2.7374207973480225,
False,rastrigin,4,0.0,1000,2.7302844524383545,
False,rastrigin,4,0.0,1000,2.680873155593872,
False,rastrigin,4,0.0,1000,2.659628391265869,
False,rastrigin,4,0.0,1000,2.610805034637451,
False,rastrigin,4,0.0,1000,2.831698179244995,
False,rastrigin,4,0.0,1000,2.69614315032959,
False,rastrigin,4,0.0,1000,2.693213701248169,
False,rastrigin,4,0.0,1000,2.839616298675537,
False,rastrigin,4,0.0,1000,2.856945037841797,
False,rastrigin,4,0.0,1000,2.706772804260254,
False,rastrigin,4,0.0,1000,2.778282880783081,
False,rastrigin,4,0.0,1000,2.9517624378204346,
False,rastrigin,4,0.0,1000,2.6541860103607178,
False,rastrigin,4,0.0,1000,2.7424542903900146,
False,rastrigin,4,0.0,1000,2.7803537845611572,
False,rastrigin,4,0.0,1000,2.727612257003784,
False,rastrigin,4,0.0,1000,2.6446993350982666,
False,rastrigin,4,0.0,1000,2.8059628009796143,
False,rastrigin,4,0.0,1000,2.727205753326416,
False,rastrigin,4,0.0,1000,2.6969242095947266,
False,rastrigin,5,0.0,1000,2.707540273666382,
False,rastrigin,5,0.0,1000,2.766101598739624,
False,rastrigin,5,0.0,1000,2.7346227169036865,
False,rastrigin,5,0.0,1000,2.7431528568267822,
False,rastrigin,5,0.0,1000,2.7587223052978516,
False,rastrigin,5,0.0,1000,2.7316195964813232,
False,rastrigin,5,0.0,1000,2.6963093280792236,
False,rastrigin,5,0.0,1000,2.703809976577759,
False,rastrigin,5,0.0,1000,2.7061891555786133,
False,rastrigin,5,0.0,1000,2.6896443367004395,
False,rastrigin,5,0.0,1000,3.727783679962158,
False,rastrigin,5,0.0,1000,2.9427804946899414,
False,rastrigin,5,0.0,1000,2.8027586936950684,
False,rastrigin,5,0.0,1000,2.715909004211426,
False,rastrigin,5,0.0,1000,2.795670747756958,
False,rastrigin,5,0.0,1000,2.794161319732666,
False,rastrigin,5,0.0,1000,2.732496738433838,
False,rastrigin,5,0.0,1000,2.7227015495300293,
False,rastrigin,5,0.0,1000,2.6360998153686523,
False,rastrigin,5,0.0,1000,2.840919256210327,
False,rastrigin,5,0.0,1000,2.751495122909546,
False,rastrigin,5,0.0,1000,2.675723075866699,
False,rastrigin,5,0.0,1000,2.641315221786499,
False,rastrigin,5,0.0,1000,2.711732864379883,
False,rastrigin,5,0.0,1000,2.6647870540618896,
False,rastrigin,5,0.0,1000,2.7109248638153076,
False,rastrigin,5,0.0,1000,2.6821067333221436,
False,rastrigin,5,0.0,1000,2.7779204845428467,
False,rastrigin,5,0.0,1000,2.641033411026001,
False,rastrigin,5,0.0,1000,2.8101675510406494,
False,rastrigin,6,0.0,1000,2.6872262954711914,
False,rastrigin,6,0.0,1000,2.6922900676727295,
False,rastrigin,6,0.0,1000,2.7407732009887695,
False,rastrigin,6,0.0,1000,2.71089506149292,
False,rastrigin,6,0.0,1000,2.7334439754486084,
False,rastrigin,6,0.0,1000,2.682525396347046,
False,rastrigin,6,0.0,1000,2.7940759658813477,
False,rastrigin,6,0.0,1000,2.7256031036376953,
False,rastrigin,6,0.0,1000,2.7293384075164795,
False,rastrigin,6,0.0,1000,2.6576201915740967,
False,rastrigin,6,0.0,1000,2.71516752243042,
False,rastrigin,6,0.0,1000,2.7474868297576904,
False,rastrigin,6,0.0,1000,2.7862391471862793,
False,rastrigin,6,0.0,1000,2.746539831161499,
False,rastrigin,6,0.0,1000,2.7301688194274902,
False,rastrigin,6,0.0,1000,2.7206954956054688,
False,rastrigin,6,0.0,1000,2.7032132148742676,
False,rastrigin,6,0.0,1000,2.7289211750030518,
False,rastrigin,6,0.0,1000,2.725924253463745,
False,rastrigin,6,0.0,1000,2.6948344707489014,
False,rastrigin,6,0.0,1000,2.771575450897217,
False,rastrigin,6,0.0,1000,2.7006001472473145,
False,rastrigin,6,0.0,1000,2.728978395462036,
False,rastrigin,6,0.0,1000,2.6835439205169678,
False,rastrigin,6,0.0,1000,2.62255859375,
False,rastrigin,6,0.0,1000,2.6895360946655273,
False,rastrigin,6,0.0,1000,2.7345216274261475,
False,rastrigin,6,0.0,1000,2.6853652000427246,
False,rastrigin,6,0.0,1000,2.7473626136779785,
False,rastrigin,6,0.0,1000,2.6846251487731934,
False,rastrigin,7,0.0,1000,2.760636568069458,
False,rastrigin,7,0.0,1000,2.65773868560791,
False,rastrigin,7,0.0,1000,2.959629774093628,
False,rastrigin,7,0.0,1000,2.7698421478271484,
False,rastrigin,7,0.0,1000,2.71452260017395,
False,rastrigin,7,0.0,1000,2.7115602493286133,
False,rastrigin,7,0.0,1000,2.682267189025879,
False,rastrigin,7,0.0,1000,2.782217025756836,
False,rastrigin,7,0.0,1000,2.7667236328125,
False,rastrigin,7,0.0,1000,2.7210371494293213,
False,rastrigin,7,0.0,1000,2.6199898719787598,
False,rastrigin,7,0.0,1000,2.7103006839752197,
False,rastrigin,7,0.0,1000,2.72648549079895,
False,rastrigin,7,0.0,1000,2.738475799560547,
False,rastrigin,7,0.0,1000,2.7181804180145264,
False,rastrigin,7,0.0,1000,3.3746583461761475,
False,rastrigin,7,0.0,1000,2.6832358837127686,
False,rastrigin,7,0.0,1000,2.7018439769744873,
False,rastrigin,7,0.0,1000,2.6790809631347656,
False,rastrigin,7,0.0,1000,2.7263569831848145,
False,rastrigin,7,0.0,1000,2.6670312881469727,
False,rastrigin,7,0.0,1000,2.82639479637146,
False,rastrigin,7,0.0,1000,2.667032480239868,
False,rastrigin,7,0.0,1000,2.7222445011138916,
False,rastrigin,7,0.0,1000,2.6859145164489746,
False,rastrigin,7,0.0,1000,2.7508912086486816,
False,rastrigin,7,0.0,1000,2.6364357471466064,
False,rastrigin,7,0.0,1000,2.692026138305664,
False,rastrigin,7,0.0,1000,2.994565725326538,
False,rastrigin,7,0.0,1000,2.805814743041992,
False,rastrigin,8,0.0,1000,2.76759934425354,
False,rastrigin,8,0.0,1000,2.6675467491149902,
False,rastrigin,8,0.0,1000,2.6663577556610107,
False,rastrigin,8,0.0,1000,2.7336606979370117,
False,rastrigin,8,0.0,1000,2.9180169105529785,
False,rastrigin,8,0.0,1000,2.7549781799316406,
False,rastrigin,8,0.0,1000,2.787513017654419,
False,rastrigin,8,0.0,1000,2.6901237964630127,
False,rastrigin,8,0.0,1000,2.7065954208374023,
False,rastrigin,8,0.0,1000,2.790473699569702,
False,rastrigin,8,0.0,1000,2.7102932929992676,
False,rastrigin,8,0.0,1000,2.706803560256958,
False,rastrigin,8,0.0,1000,2.735379934310913,
False,rastrigin,8,0.0,1000,2.663661003112793,
False,rastrigin,8,0.0,1000,2.7929399013519287,
False,rastrigin,8,0.0,1000,2.6936299800872803,
False,rastrigin,8,0.0,1000,2.7256054878234863,
False,rastrigin,8,0.0,1000,2.7654662132263184,
False,rastrigin,8,0.0,1000,2.6506190299987793,
False,rastrigin,8,0.0,1000,2.7117648124694824,
False,rastrigin,8,0.0,1000,2.729673385620117,
False,rastrigin,8,0.0,1000,2.7173120975494385,
False,rastrigin,8,0.0,1000,2.696594476699829,
False,rastrigin,8,0.0,1000,2.6400845050811768,
False,rastrigin,8,0.0,1000,2.682546854019165,
False,rastrigin,8,0.0,1000,2.67467999458313,
False,rastrigin,8,0.0,1000,2.699223279953003,
False,rastrigin,8,0.0,1000,2.792086362838745,
False,rastrigin,8,0.0,1000,2.885814666748047,
False,rastrigin,8,0.0,1000,2.818909168243408,
False,rastrigin,9,0.0,1000,2.904022455215454,
False,rastrigin,9,0.0,1000,2.774247884750366,
False,rastrigin,9,0.0,1000,2.639007806777954,
False,rastrigin,9,0.0,1000,2.6555256843566895,
False,rastrigin,9,0.0,1000,2.72548246383667,
False,rastrigin,9,0.0,1000,2.781916856765747,
False,rastrigin,9,0.0,1000,2.7876718044281006,
False,rastrigin,9,0.0,1000,2.7006030082702637,
False,rastrigin,9,0.0,1000,2.743823289871216,
False,rastrigin,9,0.0,1000,2.7537877559661865,
False,rastrigin,9,0.0,1000,2.662454843521118,
False,rastrigin,9,0.0,1000,2.789889097213745,
False,rastrigin,9,0.0,1000,2.964081048965454,
False,rastrigin,9,0.0,1000,2.683037281036377,
False,rastrigin,9,0.0,1000,2.7383856773376465,
False,rastrigin,9,0.0,1000,2.7140958309173584,
False,rastrigin,9,0.0,1000,2.753796339035034,
False,rastrigin,9,0.0,1000,2.7076327800750732,
False,rastrigin,9,0.0,1000,2.747253179550171,
False,rastrigin,9,0.0,1000,2.7383346557617188,
False,rastrigin,9,0.0,1000,2.714787721633911,
False,rastrigin,9,0.0,1000,2.7889392375946045,
False,rastrigin,9,0.0,1000,2.7277674674987793,
False,rastrigin,9,0.0,1000,2.768819808959961,
False,rastrigin,9,0.0,1000,2.7433266639709473,
False,rastrigin,9,0.0,1000,2.6736342906951904,
False,rastrigin,9,0.0,1000,2.6867761611938477,
False,rastrigin,9,0.0,1000,2.754716157913208,
False,rastrigin,9,0.0,1000,2.739973783493042,
False,rastrigin,9,0.0,1000,2.6981780529022217,
False,rastrigin,10,0.0,1000,2.658682107925415,
False,rastrigin,10,0.0,1000,2.8192269802093506,
False,rastrigin,10,0.0,1000,2.660825490951538,
False,rastrigin,10,0.0,1000,2.736717700958252,
False,rastrigin,10,0.0,1000,2.6969451904296875,
False,rastrigin,10,0.0,1000,2.7747936248779297,
False,rastrigin,10,0.0,1000,2.7543816566467285,
False,rastrigin,10,0.0,1000,2.741842269897461,
False,rastrigin,10,0.0,1000,2.737395763397217,
False,rastrigin,10,0.0,1000,2.69085693359375,
False,rastrigin,10,0.0,1000,2.7329394817352295,
False,rastrigin,10,0.0,1000,2.708232879638672,
False,rastrigin,10,0.0,1000,2.664799451828003,
False,rastrigin,10,0.0,1000,2.79217529296875,
False,rastrigin,10,0.0,1000,2.7659239768981934,
False,rastrigin,10,0.0,1000,2.74873685836792,
False,rastrigin,10,0.0,1000,2.7367677688598633,
False,rastrigin,10,0.0,1000,2.6605772972106934,
False,rastrigin,10,0.0,1000,2.699096441268921,
False,rastrigin,10,0.0,1000,2.652412176132202,
False,rastrigin,10,0.0,1000,2.749605894088745,
False,rastrigin,10,0.0,1000,2.707542657852173,
False,rastrigin,10,0.0,1000,2.7531893253326416,
