Hits,Time (1e-06s),Per Hit,%,
557,25709007.0,46156.2,91.8,
564,26314071.0,46656.2,91.6,
664,30873835.0,46496.7,92.0,
701,32311129.0,46092.9,91.8,
701,32311129.0,46092.9,91.8,
597,27753752.0,46488.7,91.9,
890,41527588.0,46660.2,92.0,
601,28278358.0,47052.2,91.8,
636,29289845.0,46053.2,91.7,
720,33531826.0,46572.0,92.0,
