f_name,n_dims,n_swarms,very_min,mean_min,exec_time,

sphere,2,10,0.0,0.0,4.674824476242065,
sphere,2,10,0.0,0.0,5.177356719970703,
sphere,2,10,0.0,0.0,5.287459373474121,
sphere,2,10,0.0,0.0,5.174771547317505,
sphere,2,10,0.0,0.0,5.074046611785889,
sphere,2,10,0.0,0.0,5.17560887336731,
sphere,2,10,0.0,0.0,5.075634002685547,
sphere,2,10,0.0,0.0,5.074791669845581,
sphere,2,10,0.0,0.0,5.178178071975708,
sphere,2,10,0.0,0.0,5.075061559677124,
sphere,2,10,0.0,0.0,5.175052165985107,
sphere,2,10,0.0,0.0,5.07563042640686,
sphere,2,10,0.0,0.0,5.176316022872925,
sphere,2,10,0.0,0.0,5.17679762840271,
sphere,2,10,0.0,0.0,5.179059267044067,
sphere,2,10,0.0,0.0,5.17362117767334,
sphere,2,10,0.0,0.0,5.17551851272583,
sphere,2,10,0.0,0.0,5.178811073303223,
sphere,2,10,0.0,0.0,5.174891948699951,
sphere,2,10,0.0,0.0,4.972802400588989,
sphere,4,10,0.0,0.0,5.281698226928711,
sphere,4,10,0.0,0.0,5.175798654556274,
sphere,4,10,0.0,0.0,5.1750898361206055,
sphere,4,10,0.0,0.0,5.088686227798462,
sphere,4,10,0.0,0.0,5.176997661590576,
sphere,4,10,0.0,0.0,5.174896717071533,
sphere,4,10,0.0,0.0,5.17448091506958,
sphere,4,10,0.0,0.0,5.074010372161865,
sphere,4,10,0.0,0.0,5.073428153991699,
sphere,4,10,0.0,0.0,5.175378322601318,
sphere,4,10,0.0,0.0,5.275853872299194,
sphere,4,10,0.0,0.0,5.281348943710327,
sphere,4,10,0.0,0.0,5.185074090957642,
sphere,4,10,0.0,0.0,5.278472900390625,
sphere,4,10,0.0,0.0,5.1760289669036865,
sphere,4,10,0.0,0.0,5.18154239654541,
sphere,4,10,0.0,0.0,5.187429666519165,
sphere,4,10,0.0,0.0,5.08366847038269,
sphere,4,10,0.0,0.0,5.075944900512695,
sphere,4,10,0.0,0.0,5.07424783706665,
sphere,8,10,0.0,0.0,5.073642015457153,
sphere,8,10,0.0,0.0,5.177367210388184,
sphere,8,10,0.0,0.0,5.077096223831177,
sphere,8,10,0.0,0.0,5.177670240402222,
sphere,8,10,0.0,0.0,5.17465615272522,
sphere,8,10,0.0,0.0,5.175374746322632,
sphere,8,10,0.0,0.0,5.173504590988159,
sphere,8,10,0.0,0.0,5.079764366149902,
sphere,8,10,0.0,0.0,5.280651330947876,
sphere,8,10,0.0,0.0,5.2775843143463135,
sphere,8,10,0.0,0.0,5.074459791183472,
sphere,8,10,0.0,0.0,5.275255441665649,
sphere,8,10,0.0,0.0,5.077121019363403,
sphere,8,10,0.0,0.0,5.174241542816162,
sphere,8,10,0.0,0.0,5.17437219619751,
sphere,8,10,0.0,0.0,5.073003768920898,
sphere,8,10,0.0,0.0,5.17637038230896,
sphere,8,10,0.0,0.0,5.176409721374512,
sphere,8,10,0.0,0.0,5.175477743148804,
sphere,8,10,0.0,0.0,5.175612211227417,
sphere,10,10,0.0,0.0,5.174926042556763,
sphere,10,10,0.0,0.0,5.1766197681427,
sphere,10,10,0.0,0.0,5.0774993896484375,
sphere,10,10,0.0,0.0,5.077941417694092,
sphere,10,10,0.0,0.0,5.180999040603638,
sphere,10,10,0.0,0.0,5.274927616119385,
sphere,10,10,0.0,0.0,4.973895072937012,
sphere,10,10,0.0,0.0,5.073975563049316,
sphere,10,10,0.0,0.0,5.176220893859863,
sphere,10,10,0.0,0.0,5.178793430328369,
sphere,10,10,0.0,0.0,5.080357551574707,
sphere,10,10,0.0,0.0,5.077389717102051,
sphere,10,10,0.0,0.0,5.075362205505371,
sphere,10,10,0.0,0.0,5.07446551322937,
sphere,10,10,0.0,0.0,5.077302932739258,
sphere,10,10,0.0,0.0,5.079923152923584,
sphere,10,10,0.0,0.0,5.174516439437866,
sphere,10,10,0.0,0.0,5.182300090789795,
sphere,10,10,0.0,0.0,5.379813194274902,
sphere,10,10,0.0,0.0,5.175325632095337,
sphere,20,10,0.0,0.0,5.074637174606323,
sphere,20,10,0.0,0.0,5.173534870147705,
sphere,20,10,0.0,0.0,5.073720932006836,
sphere,20,10,0.0,0.0,5.277401924133301,
sphere,20,10,0.0,0.0,5.174989700317383,
sphere,20,10,0.0,0.0,5.176609992980957,
sphere,20,10,0.0,0.0,5.075915098190308,
sphere,20,10,0.0,0.0,5.0776917934417725,
sphere,20,10,0.0,0.0,5.182265758514404,
sphere,20,10,0.0,0.0,5.176897764205933,
sphere,20,10,0.0,0.0,5.176514387130737,
sphere,20,10,0.0,0.0,5.077035188674927,
sphere,20,10,0.0,0.0,5.075555086135864,
sphere,20,10,0.0,0.0,5.083374977111816,
